danceability,energy,valence,acousticness,instrumentalness,liveness,speechiness,loudness,tempo,duration_ms,key,mode,emotion_label
1.0,0.6583231254778013,0.6741732815618481,0.5616527712194338,0.32124297874164986,0.6765068564191717,0.8280400011945974,3.21,68.15,202502,7,1,energetic
0.8715095233378469,0.8149107428013628,0.7192720799377652,0.30757288612971284,0.36586227581557407,0.4449316578084835,0.30007884114949684,4.7,109.59,239097,5,0,energetic
0.5549216430349966,0.23960874862734854,0.33990760703268985,0.5095986516709536,0.15035461861862923,0.3145150989634249,0.8098042466687217,3.62,121.71,146707,9,1,calm
0.5053012406422426,0.3715332550648029,0.3759545206593094,0.2185600946417267,0.35130499701441614,0.16808268172570384,0.27928778585245984,1.33,112.89,298932,0,0,sad
0.4540282164025887,0.32854203894269796,0.08910047319230091,0.7332553154899123,0.36974395901962276,0.36331941823055336,0.6573395270791595,1.48,65.9,203911,2,1,sad
0.40714953424575284,0.5749255157248225,0.22458048114916696,0.13517316968145537,0.411126046709007,0.6846848718066236,0.1605071925689158,4.27,147.31,292364,5,1,sad
0.9945674847951212,0.8623718008158457,0.4814593681718905,0.4618178807956234,0.3133473438275478,0.45319264186840313,0.6138868030236102,4.81,72.1,289000,7,1,energetic
0.32082636551623495,0.31862031462454543,0.30940131010900745,0.294959712747179,0.5642635889735945,0.1941621574713342,0.21556487657325385,1.59,148.38,165982,1,0,sad
0.5950538007928444,0.5637993590714891,0.6315618154025882,0.7137339107440128,0.664665456603672,0.19868904029730328,0.32408748141087496,2.29,176.8,233273,4,1,calm
0.46813868288611904,0.27611725609232174,0.48236419069405667,0.6719008573867679,0.7031675963931852,0.47493041980603445,0.2971330829594517,2.82,190.74,139754,6,0,calm
0.43170076696488774,0.5134412239891413,0.32279090250517983,0.6522850165146988,0.39689631245423,0.5662884973732818,0.08445440189403362,1.78,83.29,231123,4,1,calm
0.34550669201346035,0.28842840120493796,0.3383735954753894,0.8076997991536412,0.39722221733808766,0.4460880519863726,0.5304594893430197,1.53,187.14,254521,9,1,sad
0.895819775224837,0.9116064491429207,0.4547702145167579,0.20262522756440476,0.2553501763668372,0.7073670134208327,0.31244017933673723,2.57,76.5,160647,2,0,energetic
0.21223763497761822,0.5847028989427252,0.29472371035411793,0.6907851825861493,0.6267364562508192,0.554308822261077,0.3923818365070599,2.66,135.69,223915,8,1,sad
0.4810260044375334,0.49452318797023753,0.5252228723360994,0.4213066455721446,0.43030587328715614,0.8338674635047192,0.1123497108206542,1.88,127.09,241572,6,0,sad
0.7784051753865824,0.5528011095223803,0.589277458410874,0.453585830838286,0.7093779051563764,0.6429597896317083,0.5218629034804816,2.41,92.77,128960,10,1,happy
0.5873155604508379,0.4831127803199079,0.15594541246586657,0.3956553340964442,0.4471420204707804,0.3272426351637985,0.14870545453629108,2.27,90.4,139181,1,0,calm
0.47077402380982303,0.5903699143551351,0.6562778215622043,0.4106640183476651,0.42613694672888874,0.3545940192546028,0.3606216766875375,3.05,60.75,288914,4,0,calm
0.4187594945742986,0.5841198796955928,0.5148976006295841,0.043327387818374745,0.3042373679281612,0.23761810412749423,0.27971041966358,2.32,176.38,274122,5,1,calm
0.420199812098919,0.4963954725897699,0.5502302498568046,0.13689589467762367,0.5931534443638399,0.37702316335269354,0.21820053661364786,4.71,84.04,258896,4,0,calm
0.41377584051740374,0.33379337450580565,0.3151144234352398,0.3253481035756315,0.15411987936442068,0.5295530077992632,0.19609419864078084,2.18,181.93,123298,9,1,sad
0.33181704330203865,0.30727276048810415,0.6142049284268075,0.5869560486397364,0.20313502547148063,0.04375810210942452,0.2934692369899179,1.63,84.43,131409,4,1,calm
0.9204785446784872,0.8389079916058032,0.8282622174127054,0.678720758805072,0.5700710919443701,0.3827937545927026,0.19323137549276864,3.46,130.47,172885,3,0,energetic
0.7016051934117445,0.6736605798005572,1.0,0.32360041811258206,0.6762173834235121,0.5124046263683543,0.5804054708386387,3.0,109.54,288018,10,1,happy
0.4593805384529961,0.5450329055559557,0.8150417473080562,0.447061660693159,0.30161492760804154,0.21276945813971285,0.19057733008117028,1.57,99.77,208543,8,1,calm
0.8184900816928977,0.5420552382399539,0.8311474003106138,0.5806203290662172,0.6195285463242937,0.5865510749819988,0.5523532480666032,3.7,192.16,168414,3,0,happy
0.9633236588791951,1.0,0.8276456976897616,0.33375551228342776,0.6827507283075325,0.550975580021542,0.5430642760808521,3.83,154.02,142082,9,1,energetic
0.4575708720367542,0.3991310703223682,0.49690797111141494,0.5307997824722543,0.12926453662526435,0.4944629902827872,0.25256591634268366,1.7,170.88,130760,9,1,calm
0.4965219930131058,0.45746192596709245,0.7014492616610449,0.5400208265890475,0.41023101585338917,0.10007436154465171,0.23961475300030013,3.72,91.33,216323,1,1,calm
0.31091566575489227,0.05129205078213983,0.3270796262708147,0.7358881143598079,0.6394960911919297,0.27486291973767324,0.44578159946662627,4.36,77.45,285751,5,0,sad
0.734415586261906,0.7562904173564946,1.0,0.8025542399101309,0.46273275513348106,0.10061401099310173,0.27481536128840506,2.34,80.6,145815,6,0,happy
0.8158878632439608,1.0,0.6982348243264549,0.3816270017458164,0.5973502785717975,0.06710789602063495,0.2428570673944035,3.59,165.81,177878,9,1,energetic
0.9005891031769147,0.5666417027416752,0.787257877805808,0.1418764888246397,0.34589105770135814,0.1932640448480628,0.4382605098355022,1.07,120.46,183954,6,1,happy
0.7852337372052252,0.9553236618372992,0.8160012541967062,0.2502702516701306,0.37509846128500357,0.28147394867686815,0.815976548397471,2.55,133.91,215044,1,1,energetic
0.931832018833622,0.6842995242815975,0.628473195907424,0.3770789626204402,0.43017446891759203,0.4267645253703697,0.6193704383716188,4.8,134.98,224356,0,1,energetic
0.9129232432027077,0.8005795039674539,0.5757391222053693,0.7396297756538909,0.7440411873189675,0.7575450648263833,0.656142542910422,1.79,149.96,202454,10,0,energetic
0.7896315295929269,0.4325848492020436,0.9335524754530091,0.4782179228449006,0.11859896447854978,0.5356875221443353,0.745010434854187,3.54,174.66,239091,11,1,happy
0.3964550453226472,0.6747591992778692,0.4825080671550567,0.5483912346607592,0.23774602799572514,0.2888453864477901,0.2695502633729579,1.47,63.03,153233,1,0,sad
0.8774571386294949,0.8571864718567176,0.6221564376034784,0.40123662703225466,0.519985571654481,0.3133299479456349,0.6983797443343848,4.68,109.97,245124,10,1,energetic
0.3854760659272204,0.5457089653214644,0.3613318500947795,0.18596446686082993,0.5209660209294814,0.5655138259759267,0.25817365645234713,1.26,196.15,217925,9,1,sad
0.7806050599557347,0.6005043517338223,0.7557831073550385,0.056500970936666214,0.2927241340819584,0.36844392566912965,0.6876676010409156,4.22,168.19,218715,8,1,happy
0.7674661366335642,0.7551077636918386,0.7626321374025734,0.32740757607124255,0.16481504947682082,0.37534918526764577,0.6434194915013938,1.6,191.65,176768,1,0,happy
0.4423889482443986,0.22177774284312832,0.31077493615599966,0.4431717638703806,0.1821594405219771,0.6674113839898034,0.2807790049055564,4.5,66.08,166985,0,0,sad
0.30214310950376916,0.34248730870466026,0.2508549844035059,0.1777073811265514,0.42911537712100567,0.3079422942257563,0.46093911925040776,3.48,67.75,230944,10,0,sad
0.5167112071310135,0.6174726710513743,0.5789079879893984,0.32489807326067827,0.5575307391413687,0.17324758322566408,0.8161860964431842,3.96,174.85,127455,2,0,calm
0.9371459053951017,0.9127874964439271,0.6731632236819608,0.4789402731269929,0.12346661384188355,0.1724906464741618,0.6019211416245088,2.83,156.1,253554,11,0,energetic
0.877524199186406,0.7486414813718305,0.6980688124387435,0.5005246172152518,0.4387989855574828,0.2441316240320816,0.40492170892573864,2.94,173.97,291701,6,1,happy
